Time (s);IRQ;;FSM;
0.00021375;0;0;1;0.00000125
0.000215;0;0;1;0.00000125
0.00021625;0;0;1;0.00000125
0.0002175;0;0;1;0.00000125
0.00021875;0;0;1;0.00000125
0.00022;0;0;1;0.00000125
0.00022125;0;0;1;1.25E-06
0.0002225;0;0;1;0.00000125
0.00022375;0;0;1;0.00000125
0.000225;0;0;1;0.00000125
0.00022625;0;0;1;0.00000125
0.0002275;0;0;1;0.00000125
0.00022875;0;0;1;0.00000125
0.00023;0;0;1;0.00000125
0.00023125;0;0;1;0.00000125
0.0002325;0;0;1;1.25E-06
0.00023375;0;0;1;0.00000125
0.000235;0;0;1;0.00000125
0.00023625;0;0;1;0.00000125
0.0002375;0;0;1;0.00000125
0.00023875;0;0;1;0.00000125
0.00024;0;0;1;0.00000125
0.00024125;0;0;1;0.00000125
0.0002425;0;0;1;1.25E-06
0.00024375;0;0;1;0.00000125
0.000245;0;0;1;0.00000125
0.00024625;0;0;1;0.00000125
0.0002475;0;0;1;0.00000125
0.00024875;0;0;1;0.00000125
0.00025;0;0;1;0.00000125
0.00025125;0;0;1;0.00000125
0.0002525;0;0;1;0.00000125
0.00025375;0;0;1;0.00000125
0.000255;0;0;1;0.00000125
0.00025625;0;0;1;0.00000125
0.0002575;0;0;1;1.25E-06
0.00025875;0;0;1;0.00000125
0.00026;0;0;1;0.00000125
0.00026125;0;0;1;0.00000125
0.0002625;0;0;1;0.00000125
0.00026375;0;0;1;0.00000125
0.000265;0;0;1;0.00000125
0.00026625;0;0;1;0.00000125
0.0002675;0;0;1;0.00000125
0.00026875;0;0;1;0.00000125
0.00027;0;0;1;0.00000125
0.00027125;0;0;1;0.00000125
0.0002725;0;0;1;0.00000125
0.00027375;0;0;1;0.00000125
0.000275;0;0;1;0.00000125
0.00027625;0;0;1;0.00000125
0.0002775;0;0;1;0.00000125
0.00027875;0;0;1;1.25E-06
0.00028;0;0;1;0.00000125
0.00028125;0;0;1;0.00000125
0.0002825;0;0;1;0.00000125
0.00028375;0;0;1;0.00000125
0.000285;0;0;1;0.00000125
0.00028625;0;0;1;0.00000125
0.0002875;0;0;1;0.00000125
0.00028875;0;0;1;0.00000125
0.00029;0;0;1;0.00000125
0.00029125;0;0;1;0.00000125
0.0002925;0;0;1;0.00000125
0.00029375;0;0;1;0.00000125
0.000295;0;0;1;0.00000125
0.00029625;0;0;1;0.00000125
0.0002975;0;0;1;0.00000125
0.00029875;0;0;1;1.25E-06
0.0003;0;0;1;0.00000125
