Time (s);IRQ;;FSM;
-0.02514329;0;0;1;3.13E-06
-0.02514016;0;0;1;3.13E-06
-0.02513703;0;0;1;3.13E-06
-0.0251339;0;0;1;3.13E-06
-0.02513077;0;0;1;3.13E-06
-0.02512764;0;0;1;3.13E-06
-0.02512451;0;0;1;3.13E-06
-0.02512138;0;0;1;3.13E-06
-0.02511825;0;0;1;3.13E-06
-0.02511512;0;0;1;3.13E-06
-0.02511199;0;0;1;3.13E-06
-0.02510886;0;0;1;3.13E-06
-0.02510573;0;0;1;3.13E-06
-0.0251026;0;0;1;3.13E-06
-0.02509947;0;0;1;3.13E-06
-0.02509634;0;0;1;3.13E-06
-0.02509321;0;0;1;3.13E-06
-0.02509008;0;0;1;3.13E-06
-0.02508695;0;0;1;3.13E-06
-0.02508382;0;0;1;3.13E-06
-0.02508069;0;0;1;3.13E-06
-0.02507756;1;3.13E-06;1;3.13E-06
-0.02507443;1;3.13E-06;1;3.13E-06
-0.0250713;0;0;1;3.13E-06
-0.02506817;0;0;1;3.13E-06
-0.02506504;0;0;1;3.13E-06
-0.02506191;0;0;1;3.13E-06
-0.02505878;0;0;1;3.13E-06
-0.02505565;0;0;1;3.13E-06
-0.02505252;0;0;1;3.13E-06
-0.02504939;0;0;1;3.13E-06
-0.02504626;0;0;1;3.13E-06
-0.02504313;0;0;1;3.13E-06
-0.02504;0;0;1;3.13E-06
-0.02503687;0;0;1;3.13E-06
-0.02503374;0;0;1;3.13E-06
-0.02503061;0;0;1;3.13E-06
-0.02502748;0;0;1;3.13E-06
-0.02502435;0;0;1;3.13E-06
-0.02502122;0;0;1;3.13E-06
-0.02501809;0;0;1;3.13E-06
-0.02501496;0;0;1;3.13E-06
-0.02501183;0;0;1;3.13E-06
-0.0250087;0;0;1;3.13E-06
-0.02500557;0;0;1;3.13E-06
-0.02500244;0;0;1;3.13E-06
-0.02499931;0;0;1;3.13E-06
-0.02499618;0;0;1;3.13E-06
-0.02499305;0;0;1;3.13E-06
-0.02498992;0;0;1;3.13E-06
-0.02498679;0;0;1;3.13E-06
-0.02498366;0;0;1;3.13E-06
-0.02498053;0;0;1;3.13E-06
-0.0249774;0;0;1;3.13E-06
-0.02497427;0;0;1;3.13E-06
-0.02497114;0;0;1;3.13E-06
-0.02496801;0;0;1;3.13E-06
-0.02496488;0;0;1;3.13E-06
-0.02496175;0;0;1;3.13E-06
-0.02495862;0;0;1;3.13E-06
-0.02495549;0;0;1;3.13E-06
-0.02495236;0;0;1;3.13E-06
-0.02494923;0;0;1;3.13E-06
-0.0249461;0;0;1;3.13E-06
-0.02494297;0;0;1;3.13E-06
-0.02493984;0;0;1;3.13E-06
-0.02493671;0;0;1;3.13E-06
-0.02493358;0;0;1;3.13E-06
-0.02493045;0;0;1;3.13E-06
-0.02492732;0;0;1;3.13E-06
-0.02492419;0;0;1;3.13E-06
-0.02492106;0;0;1;3.13E-06
-0.02491793;0;0;1;3.13E-06
-0.0249148;0;0;1;3.13E-06
-0.02491167;0;0;1;3.13E-06
-0.02490854;0;0;1;3.13E-06
-0.02490541;0;0;1;3.13E-06
-0.02490228;0;0;1;3.13E-06
-0.02489915;0;0;1;3.13E-06
-0.02489602;0;0;1;3.13E-06
-0.02489289;0;0;1;3.13E-06
-0.02488976;0;0;1;3.13E-06
-0.02488663;0;0;1;3.13E-06
-0.0248835;0;0;1;3.13E-06
-0.02488037;0;0;1;3.13E-06
-0.02487724;0;0;1;3.13E-06
-0.02487411;0;0;1;3.13E-06
-0.02487098;0;0;1;3.13E-06
-0.02486785;0;0;1;3.13E-06
-0.02486472;0;0;1;3.13E-06
-0.02486159;0;0;1;3.13E-06
-0.02485846;0;0;1;3.13E-06
-0.02485533;0;0;1;3.13E-06
-0.0248522;0;0;1;3.13E-06
-0.02484907;0;0;1;3.13E-06
-0.02484594;0;0;1;3.13E-06
-0.02484281;0;0;1;3.13E-06
-0.02483968;0;0;1;3.13E-06
-0.02483655;0;0;1;3.13E-06
-0.02483342;0;0;1;3.13E-06
-0.02483029;0;0;1;3.13E-06
-0.02482716;0;0;1;3.13E-06
-0.02482403;0;0;1;3.13E-06
-0.0248209;0;0;1;3.13E-06
-0.02481777;0;0;1;3.13E-06
-0.02481464;0;0;1;3.13E-06
-0.02481151;0;0;1;3.13E-06
-0.02480838;0;0;1;3.13E-06
-0.02480525;0;0;1;3.13E-06
-0.02480212;0;0;1;3.13E-06
-0.02479899;0;0;1;3.13E-06
-0.02479586;0;0;1;3.13E-06
-0.02479273;0;0;1;3.13E-06
-0.0247896;0;0;1;3.13E-06
-0.02478647;0;0;1;3.13E-06
-0.02478334;0;0;1;3.13E-06
-0.02478021;0;0;1;3.13E-06
-0.02477708;0;0;1;3.13E-06
-0.02477395;0;0;1;3.13E-06
-0.02477082;0;0;1;3.13E-06
-0.02476769;0;0;1;3.13E-06
-0.02476456;0;0;1;3.13E-06
-0.02476143;0;0;1;3.13E-06
-0.0247583;0;0;1;3.13E-06
-0.02475517;0;0;1;3.13E-06
-0.02475204;0;0;1;3.13E-06
-0.02474891;0;0;1;3.13E-06
-0.02474578;0;0;1;3.13E-06
-0.02474265;0;0;1;3.13E-06
-0.02473952;0;0;1;3.13E-06
-0.02473639;0;0;1;3.13E-06
-0.02473326;0;0;1;3.13E-06
-0.02473013;0;0;1;3.13E-06
-0.024727;0;0;1;3.13E-06
-0.02472387;0;0;1;3.13E-06
-0.02472074;0;0;1;3.13E-06
-0.02471761;0;0;1;3.13E-06
-0.02471448;1;3.13E-06;1;3.13E-06
-0.02471135;1;3.13E-06;1;3.13E-06
-0.02470822;0;0;1;3.13E-06
-0.02470509;0;0;1;3.13E-06
-0.02470196;0;0;1;3.13E-06
-0.02469883;0;0;1;3.13E-06
-0.0246957;0;0;1;3.13E-06
-0.02469257;0;0;1;3.13E-06
-0.02468944;0;0;1;3.13E-06
-0.02468631;0;0;1;3.13E-06
-0.02468318;0;0;1;3.13E-06
-0.02468005;0;0;1;3.13E-06
-0.02467692;0;0;1;3.13E-06
-0.02467379;0;0;1;3.13E-06
-0.02467066;0;0;1;3.13E-06
-0.02466753;0;0;1;3.13E-06
-0.0246644;0;0;1;3.13E-06
-0.02466127;0;0;1;3.13E-06
-0.02465814;0;0;1;3.13E-06
-0.02465501;0;0;1;3.13E-06
-0.02465188;0;0;1;3.13E-06
-0.02464875;0;0;1;3.13E-06
-0.02464562;0;0;1;3.13E-06
-0.02464249;0;0;1;3.13E-06
-0.02463936;0;0;1;3.13E-06
-0.02463623;0;0;1;3.13E-06
-0.0246331;0;0;1;3.13E-06
-0.02462997;0;0;1;3.13E-06
-0.02462684;0;0;1;3.13E-06
-0.02462371;0;0;1;3.13E-06
-0.02462058;0;0;1;3.13E-06
-0.02461745;0;0;1;3.13E-06
-0.02461432;0;0;1;3.13E-06
-0.02461119;0;0;1;3.13E-06
-0.02460806;0;0;1;3.13E-06
-0.02460493;0;0;1;3.13E-06
-0.0246018;0;0;1;3.13E-06
-0.02459867;1;3.13E-06;1;3.13E-06
-0.02459554;0;0;1;3.13E-06
-0.02459241;0;0;1;3.13E-06
-0.02458928;0;0;1;3.13E-06
-0.02458615;0;0;1;3.13E-06
-0.02458302;0;0;1;3.13E-06
-0.02457989;0;0;1;3.13E-06
-0.02457676;0;0;1;3.13E-06
-0.02457363;0;0;1;3.13E-06
-0.0245705;0;0;1;3.13E-06
-0.02456737;0;0;1;3.13E-06
-0.02456424;0;0;1;3.13E-06
-0.02456111;0;0;1;3.13E-06
-0.02455798;0;0;1;3.13E-06
-0.02455485;0;0;1;3.13E-06
-0.02455172;0;0;1;3.13E-06
-0.02454859;0;0;1;3.13E-06
-0.02454546;0;0;1;3.13E-06
-0.02454233;0;0;1;3.13E-06
-0.0245392;0;0;1;3.13E-06
-0.02453607;0;0;1;3.13E-06
-0.02453294;0;0;1;3.13E-06
-0.02452981;0;0;1;3.13E-06
-0.02452668;0;0;1;3.13E-06
-0.02452355;0;0;1;3.13E-06
-0.02452042;0;0;1;3.13E-06
-0.02451729;0;0;1;3.13E-06
-0.02451416;0;0;1;3.13E-06
-0.02451103;0;0;1;3.13E-06
-0.0245079;0;0;1;3.13E-06
-0.02450477;0;0;1;3.13E-06
-0.02450164;0;0;1;3.13E-06
-0.02449851;0;0;1;3.13E-06
-0.02449538;0;0;1;3.13E-06
-0.02449225;0;0;1;3.13E-06
-0.02448912;0;0;1;3.13E-06
-0.02448599;0;0;1;3.13E-06
-0.02448286;0;0;1;3.13E-06
-0.02447973;0;0;1;3.13E-06
-0.0244766;0;0;1;3.13E-06
-0.02447347;0;0;1;3.13E-06
-0.02447034;0;0;1;3.13E-06
-0.02446721;0;0;1;3.13E-06
-0.02446408;0;0;1;3.13E-06
-0.02446095;0;0;1;3.13E-06
-0.02445782;0;0;1;3.13E-06
-0.02445469;0;0;1;3.13E-06
-0.02445156;0;0;1;3.13E-06
-0.02444843;0;0;1;3.13E-06
-0.0244453;0;0;1;3.13E-06
-0.02444217;0;0;1;3.13E-06
-0.02443904;0;0;1;3.13E-06
-0.02443591;0;0;1;3.13E-06
-0.02443278;0;0;1;3.13E-06
-0.02442965;0;0;1;3.13E-06
-0.02442652;0;0;1;3.13E-06
-0.02442339;0;0;1;3.13E-06
-0.02442026;0;0;1;3.13E-06
-0.02441713;0;0;1;3.13E-06
-0.024414;0;0;1;3.13E-06
-0.02441087;0;0;1;3.13E-06
-0.02440774;0;0;1;3.13E-06
-0.02440461;0;0;1;3.13E-06
-0.02440148;0;0;1;3.13E-06
-0.02439835;0;0;1;3.13E-06
-0.02439522;0;0;1;3.13E-06
-0.02439209;0;0;1;3.13E-06
-0.02438896;0;0;1;3.13E-06
-0.02438583;0;0;1;3.13E-06
-0.0243827;0;0;1;3.13E-06
-0.02437957;0;0;1;3.13E-06
-0.02437644;0;0;1;3.13E-06
-0.02437331;0;0;1;3.13E-06
-0.02437018;0;0;1;3.13E-06
-0.02436705;0;0;1;3.13E-06
-0.02436392;0;0;1;3.13E-06
-0.02436079;0;0;1;3.13E-06
-0.02435766;0;0;1;3.13E-06
-0.02435453;0;0;1;3.13E-06
-0.0243514;1;3.13E-06;1;3.13E-06
-0.02434827;1;3.13E-06;1;3.13E-06
-0.02434514;0;0;1;3.13E-06
-0.02434201;0;0;1;3.13E-06
-0.02433888;0;0;1;3.13E-06
-0.02433575;0;0;1;3.13E-06
-0.02433262;0;0;1;3.13E-06
-0.02432949;0;0;1;3.13E-06
-0.02432636;0;0;1;3.13E-06
-0.02432323;0;0;1;3.13E-06
-0.0243201;0;0;1;3.13E-06
-0.02431697;0;0;1;3.13E-06
-0.02431384;0;0;1;3.13E-06
-0.02431071;0;0;1;3.13E-06
-0.02430758;0;0;1;3.13E-06
-0.02430445;0;0;1;3.13E-06
-0.02430132;0;0;1;3.13E-06
-0.02429819;0;0;1;3.13E-06
-0.02429506;0;0;1;3.13E-06
-0.02429193;0;0;1;3.13E-06
-0.0242888;0;0;1;3.13E-06
-0.02428567;0;0;1;3.13E-06
-0.02428254;0;0;1;3.13E-06
-0.02427941;0;0;1;3.13E-06
-0.02427628;0;0;1;3.13E-06
-0.02427315;0;0;1;3.13E-06
-0.02427002;0;0;1;3.13E-06
-0.02426689;0;0;1;3.13E-06
-0.02426376;0;0;1;3.13E-06
